team names,name,description,gender,series_number,series_total,attributes,uuid,hash
TEAM BEVEL,adewale-the-amebo,Adewale likes to be in everyone's business. ,Male,1,420,hair: bald; eyes: black; teeth: none; clothing: red; accessories: mask; expression: none; strength: powerful; weakness: curiosity,cad316c3-37f8-4b27-9f53-9d803bfcfee7,5a1ba91156983b868a491e3e90422a1d59fa0db0fde5ac22b19535573593c412
,alli-the-queeny,Alli is an LGBT Stan.,Male,2,420,hair: bald; eyes: white; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: powerful; weakness: none,a57ecda4-a26f-4e97-a757-e1800af39aab,e8f2926d13052eb8cfe6edcf99e4eee49d24fa2ff5c5bc649f78aac3725caeb2
,aminat-the-snnobish,Aminat never really wants to talk to anyone.,Female,3,420,hair: brown bun; eyes: none; teeth: none; clothing: yellow; accessories: glasses; expression: blank; strength: none; weakness: attitude,0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de,7702a9502a9e3e58a44cf1da3e716c28dfc8f8a49c95ab788c1da27237dde086
,aminu-the-carpenter,Aminu's hands are blessed; he makes the best furniture in the whole of Kano.,Male,4,420,hair: bald; eyes: blue; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: powerful; weakness: none,4f30b751-96e7-40fe-97fd-e3d44973ff2f,54e2be50c98e43b1e96d41b6b8e500f98d1fc11bfdb35b13fd0d37984ffcbd82
,chibuike-the-kudibag,Chibuike is too rich. Everyone wonders how he got it.,Male,5,420,hair: bald; eyes: black; teeth: none; clothing: blue; accessories: mask; expression: none; strength: hustler; weakness: none,5ce854f2-7ac1-46fd-b3fe-57583935d1e5,9f31910ef5ae62dd108828683e9702af51ce394d1ab9b5f80867fb7c217e744b
,chidinma-the-model,From Paris' runways; to London's streets; she's always in demand.,Female,6,420,hair: brown hair; eyes: none; teeth: none; clothing: multicolored; accessories: glasses; expression: none; strength: hardworking; weakness: none,c98db72e-49ac-4ca6-89d5-e00f5fbbcc45,98d0f7ec39c0c205ddde1ac13177e7f7bf5ebb3426af374f68f5a2cd4e1055b8
,chioma-pretty- girl,Chioma's face card is a 100.,Female,7,420,hair: dreads; eyes: none; teeth: none; clothing: multicolored; accessories: glasses; expression: none; strength: none; weakness: none,182ea888-a85b-42ca-ad73-ed4f8f9aa5c7,d0e371362b48872778edf746ffd4c48ed99375daf8cffd076d6d2c5e0d0e1802
,damilare-the-handsome,He's a fine boy; proper eye candy. ,Male,8,420,hair: bald; eyes: white; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: none; weakness: none,27eca2dc-d7df-474a-8f8f-1858152c711e,8da8b21769f65fac4940d6c02f9e79becd39337cf20b8060922bfbb3fc9f8ee5
,ebiowie-the-planter,Ebiowei has a reputation for nurturing plants.,Male,9,420,hair: bald; eyes: none; teeth: none; clothing: multicolored; accessories: none; expression: none; strength: powerful; weakness: none,f1df8270-4d60-4bd4-8959-ba7c384db5c4,41b98bb5903180c95e5773e55ea9dff75ff9ba5ea956cbdb8b9f1959fe603d83
,emeka-the-businessman,Emeka only cares about containers. No time to waste.,Male,10,420,hair: bald; eyes: white; teeth: none; clothing: orange; accessories: mask; expression: none; strength: hard worker; weakness: none,9b3d75da-4887-4089-aee4-50de3954fdc9,c40b322d5f2b793993c3b6c7eb2044d4f15a6fc221d8829234d74247e63b8cdd
,gbeminyi-the-monk,He lives in a monastery off the coast. No one has heard him speak in years.,Male,11,420,hair: bald; eyes: blue; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: none; weakness: none,c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb,ce4c7550d998233218a178556acd08837fdb9e871970e2e83188d6671c63b7f7
,henry-the-sportsman,He's played every sport known to man. Even cricket.,Male,12,420,hair: bald; eyes: yellow; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: agility; weakness: none,e1225451-bfdf-4a1f-8d37-9cce3a0bd67b,d27800d7e22002d8c0c44982b217ce5dda92e73adc16c0ed08e6f06239874ba9
,mayowa-the-smallie,Mayowa is so small but everyone loves him still.,Male,13,420,hair: bald; eyes: blue; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: none; weakness: none,dfbb4163-df24-4d54-b74c-6218a68df8bd,d45026dcb25b6da9558cd0c9399d4f458645151f936cba3c5378879610fa8df3
,muyiwa-the-stylish,Muyiwa has a motto which is never to be caught unfresh.,Male,14,420,hair: bald; eyes: ash; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: creativity; weakness: none,dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7,46fc21b89a6ae50e548bbb5b8a02270f3bda2c9c51ab8d52d2c4214149e45dcb
,nina-paper-chaser,Nina loves money. It's all she dreams of. ,Female,15,420,hair: brown double bun; eyes: none; teeth: none; clothing: animal print; accessories: glasses; expression: none; strength: hustler; weakness: none,59524227-dc52-407c-8cca-e9e8c5fb3018,2454e51dcdb96a9638520e3706cb0fd0fb3dba8218c8bdd201e0d85be7522d13
,oluwaseun-spicy,He loves spicy foods. He cooks pepper and sprinkles rice on top.,Male,16,420,hair: bald; eyes: black; teeth: none; clothing: yellow and purple agbada; accessories: mask; expression: none; weakness: none,808f7007-6552-4efa-bd13-4b7c337b102b,60a17c325e90dd2b9b425475be53c33e539aafcc46a5326fb15220c6df3d7c2c
,sesan-the-smartie,Sesan always comes first in competitions.,Male,17,420,hair: bald; eyes: blue; teeth: none; clothing: orange; accessories: mask; expression: none; strength: intelligence; weakness: none,ba3edda7-8940-4ca4-97ba-826398d5909f,fd652e6be76c99055dff6d23132dd8a584810defcd818d65c5093f67d4dbf55f
,tiwa-london,If she says she's in London and you see her; you're in London too.,Female,18,420,hair: braids; eyes: none; teeth: none; clothing: black top; accessories: glasses; expression: none; strength: none; weakness: untruthfulness,78da7aeb-8352-4e25-89ac-dc48b5984089,bc5543b859370c7a8c309bad781401ee81aec7013136c3192c8785240085a537
,tunde-yoruba-demon,Tunde derives joy in breaking hearts. It's a lifestyle.,Male,19,420,hair: bald; eyes: white; teeth: none; clothing: purple and yellow agbada; accessories: mask; expression: none; strength: none; weakness: promiscuity,53b46bd7-a537-402b-b249-0b4074a8faae,eb8cae8fdc9c34b30f15f60405ca4c0951e991685b6840130e8e42e7870ab0fe
,yakubu-the-zombie,Yakubu earned his zombie title because na only dust full him head.,Male,20,420,hair: bald; eyes: black; teeth: none; clothing: green and purple agbada; accessories: mask; expression: none; strength:none; weakness:slow to understand things,4adb6781-1614-424e-8f77-fe59ffca2209,fbe1a420833f87659435b9a1450432a52753ce4ea03774922a91d230fa8e3816
TEAM CLUTCH,abdul-the-vibe,Abdul the life of the party and can never be caught un-fresh.,Male,21,420,hair: none; eyes: black; teeth: none; clothing: purple and yellow kaftan; accessories: cap; expression: happy; strength: strong; weakness: no limitation,770f817a-9d9a-4772-9a91-e66dd9d03470,d8f94674b85ed185d74b73b8c62799fd8e2e6a767c7d958f493201a3867f5907
,emeka-the -clown,Emeka the funny man; always making silly joke.,Male,22,420,hair: none; eyes: black; teeth: none; clothing: yellow and black ankara; accessories: cap; expression: straight face; strength: funny; weakness: little physique,78810fa6-a7ef-4d83-bf57-caf49db4ee69,03dbc43121b5c93bb62ba0986388ff42d0e6318cc84047aa55e847b4a566eb73
,salam-the-odogwu,Salam is a big time textile marketer always sourcing for quality materials.,Male,23,420,hair: none; eyes: brown; teeth: none; clothing: wine and yellow; accessories: yayada cap; expression: happy; strength: influence; weakness: impatience,f2957ded-022c-4b07-92c6-b345d4816a67,345cf67bba0183c43344ca20741de8312c89226b5aa279e33f7c266920e70132
,charles-the-exporter,Charles a business man an importer and exporter never to be caught idle.,Male,24,420,hair: none; eyes: grey; teeth: none; clothing: orange and blue; accessories: okpu ozo cap; expression: happy; strength: influential; weakness: incessant,09395e76-19ed-4852-8748-795ee7496a8e,adca7c50a79f2b64f5067d8480c1891f02250eb85dab05ea892ba5d2926d7807
,wole-the-pimp,Wole knows people and his way around his city.,Male,25,420,hair: none; eyes: black; teeth: two white teeth with diastema; clothing :yellow dashiki; accessories: yori yori; expression: happy; strength: strong; weakness: promiscuous,4d94d4f7-9b69-4e43-9db1-1fe83df92857,50bd4a09e378954691f760da94f750fc1d095667fa8b831cac0062df9fe4a775
,saro-the-baller,Saro is a baller and he is always ready to turn-up,Male,26,420,hair: orange afro; eyes: blue; teeth: two white teeth with diastema; clothing: black and yellow kente; accessories: none; expression: angry; strength: strong; weakness: insatiable,d35a7514-8996-42fb-a5f2-5a603ec679c5,5df57721803c9c5a0784dd01bf5f4513f210b5cb1490a29bd0795efa57a00d14
,ade-omo-yoruba,Ade is an influential man and he is revered in his town.,Male,27,420,hair: none; eyes: blue; teeth: complete white teeth and a gold tooth; clothing: black and yellow kente; accessories: wine cap; expression:happy; strength: hardworking; weakness: procrastination,92984fa0-310b-4377-8a10-15965d044383,467100881aa11b2a14d281a2db43b75113189f548d075fead22d4f0f13f1ceab
,shola-cool-kid,Shola prefers to be alone because he hates stress.,Male,28,420,hair: none; eyes: none; teeth: yellow t-shirt and blue dongaris; accessories: red facecap; expression: playful; strength: fun; weakness: playful,3ac5c186-bc14-4eb6-8567-cc818465a64f,3de9d369849e69e6e0e210077a182b1f8614cde4574f329bce8ca009e4555f76
,charlie-the-smoker,Charlie uses smoking as a coping mechanism.,Male,29,420,hair: none; eyes: black; teeth: none; clothing: black shirt with lion prints; accessories: blue cap; expression: happy; strength: nice; weakness: gullible,71a0aa22-d111-43b7-8484-43d87310bc42,6f7df338d3846b7fab1002140575e8de7c859a366122b0eb5d008dd9346c36d4
,femi-the-badguy,Femi is one of the fliest guys in Lagos.,Male,30,420,hair: orange; eyes: black; teeth: none; clothing: white t-shirt and blue dongaris; accessories: smoking pipe; expression: unbothered; strength: fearless; weakness: intolerance,e493e3fb-a8a0-455a-854f-0f6474bbc69f,bcaa7bee17dc09810706d193a22f6861b68f6d1dc23cda2b39d8e0996826fb5c
